section,G,beta,campaign,ci_hi_pct,ci_lo_pct,cr2_df,cr2_p,cr2_se,cr2_t,drop,effect_pct,n,response,wcb_B,wcb_p,wcb_t_obs,xvar
alternative_rainfall_windows_station_FE,10,0.022221272219073024,False,32.21100893620283,-16.213331016904952,5.185157393600411,0.5921257962004198,0.03894530910443647,0.5705763474487786,,5.249798297472519,40,Turbidity,1024,0.572265625,0.5006421562567732,Rmax7_mm
alternative_rainfall_windows_station_FE,10,0.020557332550259655,False,20.403752815059974,-8.699187664688345,5.185157393600411,0.42265866427258936,0.023624687182717832,0.8701631641200295,,4.847319661663474,40,Fe,1024,0.373046875,0.7728241022414305,Rmax7_mm
alternative_rainfall_windows_station_FE,10,0.008730789402335348,False,5.4525564068519605,-1.2801546536548525,6.735786188368158,0.19127691516055392,0.006010479114017446,1.4525945830131384,,2.030681953327962,40,TSS,1024,0.169921875,1.296834200481825,P30_mm
alternative_rainfall_windows_station_FE,10,0.0059623206321234405,False,4.184979241645159,-1.344902134969761,6.735786188368158,0.2706322413799239,0.004968534840892846,1.2000158644458678,,1.3823422650643291,40,Turbidity,1024,0.283203125,1.0473211261585025,P30_mm
alternative_rainfall_windows_station_FE,10,0.0031399233769879385,False,2.5957082955353705,-1.110392609065336,6.735786188368158,0.38123312107102736,0.0033518261784475723,0.9367798954426155,,0.7256139884009416,40,Fe,1024,0.388671875,0.8209025949620684,P30_mm
leave_one_station_out_station_FE,9,,,70.19539573035247,7.263115168765499,3.7217275477494876,0.023090887627570885,,,M12,35.113612687317385,36,TSS,512,0.09375,,
leave_one_station_out_station_FE,9,,,46.149814844980554,7.59777122551355,3.7217275477494876,0.015586354825726545,,,M12,25.4009343758705,36,Turbidity,512,0.1015625,,
leave_one_station_out_station_FE,9,,,22.06350943270381,-0.6516074772582647,3.7217275477494876,0.059685646729112425,,,M12,10.121811862244833,36,Fe,512,0.13671875,,
leave_one_station_out_station_FE,9,,,75.14466764101397,8.603260164077554,3.649858701011871,0.0211685102079187,,,M14,37.917663503149335,36,TSS,512,0.07421875,,
leave_one_station_out_station_FE,9,,,47.109625311964145,10.663476222504165,3.649858701011871,0.009881667471268398,,,M14,27.59178078078557,36,Turbidity,512,0.0625,,
leave_one_station_out_station_FE,9,,,22.276393017092232,-0.9110136051016182,3.649858701011871,0.06368696287490147,,,M14,10.073810891092073,36,Fe,512,0.140625,,
leave_one_station_out_station_FE,9,,,82.309726262687,15.174539694899236,3.129680760592332,0.013730339406018022,,,M15,44.904930227401366,36,TSS,512,0.05859375,,
leave_one_station_out_station_FE,9,,,50.012282155758484,10.368627319245437,3.129680760592332,0.013080175798280438,,,M15,28.672645354630056,36,Turbidity,512,0.125,,
leave_one_station_out_station_FE,9,,,22.636033373419885,2.6018892548784756,3.129680760592332,0.025797100146221733,,,M15,12.172584506363272,36,Fe,512,0.0859375,,
leave_one_station_out_station_FE,9,,,77.30723245320148,1.8273549255250154,3.1143460262177274,0.04261516308126459,,,M16,34.367877447977556,36,TSS,512,0.11328125,,
leave_one_station_out_station_FE,9,,,49.0772271505445,2.319877965225503,3.1143460262177274,0.03729475443779438,,,M16,23.505318466201743,36,Turbidity,512,0.125,,
leave_one_station_out_station_FE,9,,,24.825794331208016,-3.529694479843193,3.1143460262177274,0.10688881720808774,,,M16,9.73596728478725,36,Fe,512,0.23046875,,
leave_one_station_out_station_FE,9,,,97.46759538687286,-1.804841165798421,3.9795967994623394,0.05806420867011171,,,M17,39.249279687981996,36,TSS,512,0.10546875,,
leave_one_station_out_station_FE,9,,,56.49893572316811,-1.3737592722755876,3.9795967994623394,0.059391773555586884,,,M17,24.237279865046336,36,Turbidity,512,0.1328125,,
leave_one_station_out_station_FE,9,,,27.35759739947352,-7.308724747342787,3.9795967994623394,0.22024732519744533,,,M17,8.650532056091187,36,Fe,512,0.27734375,,
leave_one_station_out_station_FE,9,,,70.17746667327836,7.25901182841473,3.7217275477494796,0.02309749266083222,,,M21,35.10391153049128,36,TSS,512,0.09375,,
leave_one_station_out_station_FE,9,,,45.978177308961165,7.337842913474102,3.7217275477494796,0.016194306430972492,,,M21,25.17580702669564,36,Turbidity,512,0.1015625,,
leave_one_station_out_station_FE,9,,,22.050599979185527,1.155266568350899,3.7217275477494796,0.03610357710639576,,,M21,11.112829933008527,36,Fe,512,0.0859375,,
leave_one_station_out_station_FE,9,,,77.07777830561298,-0.8203295471583383,3.1618176535209535,0.053743510774893186,,,M22,32.5236420299112,36,TSS,512,0.11328125,,
leave_one_station_out_station_FE,9,,,49.76652668770076,-0.06863293377512569,3.1618176535209535,0.05042964033481154,,,M22,22.33713153684038,36,Turbidity,512,0.125,,
leave_one_station_out_station_FE,9,,,23.562906430310182,-6.352876436192734,3.1618176535209535,0.19736579034377646,,,M22,7.570027267740387,36,Fe,512,0.27734375,,
leave_one_station_out_station_FE,9,,,74.96510601486162,7.778484586424428,3.5993610237521927,0.023146737077178046,,,M37,37.322518116239344,36,TSS,512,0.0859375,,
leave_one_station_out_station_FE,9,,,47.222595893240495,11.313924116807161,3.5993610237521927,0.009057764578503422,,,M37,28.015330595751454,36,Turbidity,512,0.0625,,
leave_one_station_out_station_FE,9,,,22.26941214601719,-1.594542612211669,3.5993610237521927,0.07573983888745514,,,M37,9.690370711219787,36,Fe,512,0.1640625,,
leave_one_station_out_station_FE,9,,,75.61894261159236,8.984164992171939,3.6498587010118695,0.020449910594829375,,,M44,38.34624612663893,36,TSS,512,0.07421875,,
leave_one_station_out_station_FE,9,,,47.17138719056246,9.877081603008175,3.6498587010118695,0.011251737667307077,,,M44,27.16431307550615,36,Turbidity,512,0.06640625,,
leave_one_station_out_station_FE,9,,,22.362743290248098,0.06945530240289877,3.6498587010118695,0.049071965066202594,,,M44,10.656102725348514,36,Fe,512,0.1171875,,
leave_one_station_out_station_FE,9,,,78.45880643906801,15.515727058784478,3.5464936207240014,0.011165438365001067,,,M45,43.57854566700359,36,TSS,512,0.0234375,,
leave_one_station_out_station_FE,9,,,46.567635282509066,13.71134175863058,3.5464936207240014,0.006041466060590101,,,M45,29.098421626151993,36,Turbidity,512,0.03125,,
leave_one_station_out_station_FE,9,,,20.525494870756877,-3.2436420003256528,3.5464936207240014,0.11924614038659666,,,M45,7.9889250330924755,36,Fe,512,0.26171875,,
leave_one_station_out_campaign_adjusted,9,,,38.534783973794326,-16.26067800367792,4.767498805529839,0.47797009323745704,,,M12,7.707051221693395,36,TSS,512,0.46875,,
leave_one_station_out_campaign_adjusted,9,,,44.69541808879121,-13.57829400913053,4.767498805529839,0.31155270901039284,,,M12,11.824974313860004,36,Turbidity,512,0.26171875,,
leave_one_station_out_campaign_adjusted,9,,,28.95799928720255,-11.631003809902785,4.767498805529839,0.41036817983507995,,,M12,6.751529018058378,36,Fe,512,0.3984375,,
leave_one_station_out_campaign_adjusted,9,,,37.326403423358954,-16.08747277984589,4.9841925051794105,0.4922881352296859,,,M14,7.347126488362377,36,TSS,512,0.484375,,
leave_one_station_out_campaign_adjusted,9,,,40.15422549514891,-12.804439125795408,4.9841925051794105,0.32665128016139994,,,M14,10.547846206695732,36,Turbidity,512,0.296875,,
leave_one_station_out_campaign_adjusted,9,,,33.15544209272105,-11.297746898305261,4.9841925051794105,0.3401249652482564,,,M14,8.679288396532115,36,Fe,512,0.32421875,,
leave_one_station_out_campaign_adjusted,9,,,31.675727317574264,2.9008303513603506,4.131760372363965,0.02648381067801641,,,M15,16.40249859044132,36,TSS,512,0.09375,,
leave_one_station_out_campaign_adjusted,9,,,46.39181249708406,-4.623394682358906,4.131760372363965,0.0973374356927175,,,M15,18.162405706165718,36,Turbidity,512,0.11328125,,
leave_one_station_out_campaign_adjusted,9,,,31.608084651031465,4.433608064587258,4.131760372363965,0.018475717921056126,,,M15,17.23611700571135,36,Fe,512,0.00390625,,
leave_one_station_out_campaign_adjusted,9,,,33.84941167272588,-17.612155681677542,4.2855753184290615,0.612746814432732,,,M16,5.0122111518065005,36,TSS,512,0.55859375,,
leave_one_station_out_campaign_adjusted,9,,,36.934800395652644,-14.300716428392468,4.2855753184290615,0.4047362934151872,,,M16,8.329194079567092,36,Turbidity,512,0.37109375,,
leave_one_station_out_campaign_adjusted,9,,,31.322695980159242,-10.55826597135524,4.2855753184290615,0.31650079243595525,,,M16,8.377717478188206,36,Fe,512,0.29296875,,
leave_one_station_out_campaign_adjusted,9,,,38.14460558967141,-22.496624549896758,4.850574690067487,0.7719263532120123,,,M17,3.4730555914086025,36,TSS,512,0.734375,,
leave_one_station_out_campaign_adjusted,9,,,40.88388478179124,-19.367682310462097,4.850574690067487,0.5798754139924173,,,M17,6.5823350985595885,36,Turbidity,512,0.55859375,,
leave_one_station_out_campaign_adjusted,9,,,37.34014194888544,-13.99023347611097,4.850574690067487,0.3993468881432471,,,M17,8.685755936007622,36,Fe,512,0.3359375,,
leave_one_station_out_campaign_adjusted,9,,,35.70312555749351,-15.491175936966306,4.767498805529837,0.4861008805887256,,,M21,7.089269128806697,36,TSS,512,0.484375,,
leave_one_station_out_campaign_adjusted,9,,,40.79126475365034,-13.349592729270155,4.767498805529837,0.3363634798878025,,,M21,10.451891930672485,36,Turbidity,512,0.296875,,
leave_one_station_out_campaign_adjusted,9,,,29.695087105429764,-10.250205525550637,4.767498805529837,0.33327792543611506,,,M21,7.889329463381722,36,Fe,512,0.296875,,
leave_one_station_out_campaign_adjusted,9,,,40.01993772083967,-23.52593182948144,3.754045601457345,0.7644039065092862,,,M22,3.4789556503894037,36,TSS,512,0.65625,,
leave_one_station_out_campaign_adjusted,9,,,46.29251279822319,-20.183313587432195,3.754045601457345,0.5088514896068275,,,M22,8.058241788964636,36,Turbidity,512,0.48828125,,
leave_one_station_out_campaign_adjusted,9,,,32.45490587559134,-14.415388220282367,3.754045601457345,0.4619493806594407,,,M22,6.471130818083859,36,Fe,512,0.45703125,,
leave_one_station_out_campaign_adjusted,9,,,38.95294118104333,-21.365553574635733,4.536228290207203,0.6986100708681257,,,M37,4.529840758261683,36,TSS,512,0.69921875,,
leave_one_station_out_campaign_adjusted,9,,,50.75195082289605,-18.51071142014916,4.536228290207203,0.4196324058646108,,,M37,10.83622704054148,36,Turbidity,512,0.34765625,,
leave_one_station_out_campaign_adjusted,9,,,40.72698302383972,-14.532805931219606,4.536228290207203,0.37568595855043385,,,M37,9.67014347037425,36,Fe,512,0.375,,
leave_one_station_out_campaign_adjusted,9,,,32.90333464470934,-17.123913569167616,4.984192505179409,0.6211549537112339,,,M44,4.950027389042511,36,TSS,512,0.60546875,,
leave_one_station_out_campaign_adjusted,9,,,40.48226015826393,-10.917945653716322,4.984192505179409,0.261143669843186,,,M44,11.867995128665964,36,Turbidity,512,0.2265625,,
leave_one_station_out_campaign_adjusted,9,,,31.204913790896715,-11.236910017691336,4.984192505179409,0.3618763992376275,,,M44,7.917346005831782,36,Fe,512,0.33984375,,
leave_one_station_out_campaign_adjusted,9,,,37.38150056314928,-18.362992638296383,4.421112884210537,0.5843064864951851,,,M45,5.902854413069081,36,TSS,512,0.578125,,
leave_one_station_out_campaign_adjusted,9,,,31.11034698270241,-17.138223205128845,4.421112884210537,0.6519520479028456,,,M45,4.230687933922783,36,Turbidity,512,0.58984375,,
leave_one_station_out_campaign_adjusted,9,,,32.38565433563287,-12.870400986112362,4.421112884210537,0.4082466685346757,,,M45,7.399762464610826,36,Fe,512,0.37890625,,
